name,course,author,edition,isbn,link,picurl,aprice
GENERAL CHEMISTRY LAB HU EDITION,CHEM 005,RUSSELL,1ST,9.78E+12,http://www.amazon.com/Chemistry-Central-Science-Mastering-Package/dp/0321864409,http://ecx.images-amazon.com/images/I/51yz2OuDePL._AA160_.jpg,$163.33 
QUANTITATIVE CHEM.ANALYSIS (LOOSELEAF),CHEM 122,HARRIS,8TH10,9.78E+12,http://www.amazon.com/Quantitative-Chemical-Analysis-Loose-Leaf-Budget/dp/1429263091,http://ecx.images-amazon.com/images/I/51sCarEcCUL._AA160_.jpg,$101.48 - $114.53
ORGANIC CHEMISTRY OWL ACCESS CODE,CHEM 141,MCMURRY,N/A,9.78E+12,http://www.amazon.com/American-Cut-Glass-Edwin-Warman/dp/1111676992,http://ecx.images-amazon.com/images/I/518zmlPg96L._AA160_.jpg,$135.72 
PHYSICAL CHEMISTRY-2ND+PRINTING,CHEM 171,MCQUARRIE,97,9.78E+12,http://www.amazon.com/Physical-Chemistry-A-Molecular-Approach/dp/0935702997,http://ecx.images-amazon.com/images/I/51WCAYQeKQL._AA160_.jpg,$191.34 
"FUND.OF GENERAL,ORG.+BIO.CHEM.-W/ACCES S",CHEM 180,MCMURRY,7TH13,9.78E+12,http://www.amazon.com/Fundamentals-General-Biological-Chemistry-MasteringChemistry/dp/032175011X,http://ecx.images-amazon.com/images/I/51XQK0n7xvL._AA160_.jpg,$29.80 - $29.81
INORGANIC CHEMISTRY,CHEM 201,MIESSLER,5TH13,9.78E+12,http://www.amazon.com/Inorganic-Chemistry-Edition-Gary-Miessler/dp/0321811054,http://ecx.images-amazon.com/images/I/51bXwx-hYrL._AA160_.jpg,$37.49 - $56.16
"PHYSICAL CHEMISTRY:QUANTA,MATTER+CHANGE",CHEM 278,ATKINS,2ND14,9.78E+12,http://www.amazon.com/Physical-Chemistry-Quanta-Matter-Change/dp/1464108749,http://ecx.images-amazon.com/images/I/41eYMXZP7yL._AA160_.jpg,$31.49 - $62.22
LATIN:INTENSIVE CRSE.,CLAS 001,MORELAND,77,9.78E+12,http://www.amazon.com/Latin-Intensive-Floyd-L-Moreland/dp/0520031830,http://ecx.images-amazon.com/images/I/51UAFWSudOL._AA160_.jpg,$53.07 - $53.08
NEW INTRO.TO GREEK,CLAS 010,CHASE,(3RD)61,9.78E+12,http://www.amazon.com/New-Introduction-Greek-Edition-Enlarged/dp/0674616006,http://ecx.images-amazon.com/images/I/41HXZZ1VJQL._AA160_.jpg,$36.49 
"FAUST,PART 1",CLAS 015,GOETHE,49,9.78E+12,http://www.amazon.com/Goethes-Faust-Part-American-Version/dp/0811200566,http://ecx.images-amazon.com/images/I/31%2BFq2HlPGL._AA160_.jpg,$47.95 
